﻿industry,sub_sector,company,brand_or_cn_name,country_or_region,primary_china_city_focus,recruiting_url,roles_to_watch,benefit_or_filter_tags,notes,data_source,waiqi_id,waiqi_industry,waiqi_scale,waiqi_cities,waiqi_welfare,waiqi_position_count,waiqi_source_url,merge_status,official_website,verified_career_url,career_enrichment_status
半导体/芯片/硬件,通信/电子/半导体,亚德诺半导体技术（上海）有限公司,亚德诺半导体技术（上海）有限公司,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,36717,通信/电子/半导体,10000人以上,,,18,https://www.waiqi.com/company/detail?id=36717,added_from_waiqi,,,not_checked
专业服务/咨询/人力资源,咨询,亚来（上海）建筑设计咨询有限公司,亚来建筑设计,,上海市,,,周末双休,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,5307,咨询,100-499人,上海市,周末双休,0,https://www.waiqi.com/company/detail?id=5307,added_from_waiqi,,,not_checked
科技/软件/云计算,IT/互联网/游戏,亚马逊（上海）国际贸易有限公司,亚马逊,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,16503,IT/互联网/游戏,小于50人,,,0,https://www.waiqi.com/company/detail?id=16503,added_from_waiqi,,,not_checked
科技/软件/云计算,IT/互联网/游戏,亚马逊（上海）国际贸易有限公司深圳分公司,亚马逊,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,16504,IT/互联网/游戏,500-999人,,,0,https://www.waiqi.com/company/detail?id=16504,added_from_waiqi,,,not_checked
科技/软件/云计算,IT/互联网/游戏,亚马逊（中国）投资有限公司,Amazon 亚马逊,,"北京市,上海市,深圳市,成都市,宁波市,广州市,大连市,青岛市,南京市,廊坊市,武汉市,福州市,郑州市",,,"五险一金,定期体检,节日礼物,带薪年假,交通补助,午餐补助",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,1226,IT/互联网/游戏,1000-4999人,"北京市,上海市,深圳市,成都市,宁波市,广州市,大连市,青岛市,南京市,廊坊市,武汉市,福州市,郑州市","五险一金,定期体检,节日礼物,带薪年假,交通补助,午餐补助",355,https://www.waiqi.com/company/detail?id=1226,added_from_waiqi,,https://amazon.jobs/en/,verified_career
消费品/零售/FMCG,快速消费品,亚玛芬体育用品贸易（上海）有限公司,Amer 亚玛芬,,"上海市,北京市,南京市,无锡市,长春市",,,"绩效奖金,带薪年假,五险一金,定期体检,年底双薪",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,9917,快速消费品,100-499人,"上海市,北京市,南京市,无锡市,长春市","绩效奖金,带薪年假,五险一金,定期体检,年底双薪",0,https://www.waiqi.com/company/detail?id=9917,added_from_waiqi,,,not_checked
工业制造/自动化/材料,机械/制造业,亚荣源科技（深圳）有限公司,亚源,,"苏州市,深圳市",,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,1633,机械/制造业,小于50人,"苏州市,深圳市",,0,https://www.waiqi.com/company/detail?id=1633,added_from_waiqi,,,not_checked
工业制造/自动化/材料,机械/制造业,亚萨合莱(中国)投资有限公司,亚萨合莱,,上海; 深圳,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,18650,机械/制造业,50-99人,,,0,https://www.waiqi.com/company/detail?id=18650,added_from_waiqi,,,not_checked
能源/化工/环保,能源/化工/环保,亚什兰（中国）投资有限公司,亚什兰,,,,,"周末双休,带薪年假,绩效奖金,交通补助,定期体检",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,39219,能源/化工/环保,1000-4999人,,"周末双休,带薪年假,绩效奖金,交通补助,定期体检",1,https://www.waiqi.com/company/detail?id=39219,added_from_waiqi,,,not_checked
半导体/芯片/硬件,通信/电子/半导体,亚太卫星宽带通信（深圳）有限公司,亚太卫星宽带通信（深圳）有限公司,,"北京市,天津市,深圳市",,,"定期体检,五险一金,年底双薪,交通补助,午餐补助",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,17352,通信/电子/半导体,小于50人,"北京市,天津市,深圳市","定期体检,五险一金,年底双薪,交通补助,午餐补助",0,https://www.waiqi.com/company/detail?id=17352,added_from_waiqi,,,not_checked
物流/供应链/航运,交通/物流/仓储,亚太物流有限公司,APL-亚太物流,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,38522,交通/物流/仓储,1000-4999人,,,2,https://www.waiqi.com/company/detail?id=38522,added_from_waiqi,,,not_checked
专业服务/咨询/人力资源,人力资源服务,亚网管理顾问（上海）有限公司,Cielo Talent,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,38893,人力资源服务,10000人以上,,,6,https://www.waiqi.com/company/detail?id=38893,added_from_waiqi,,https://www.cielotalent.com/media/aklfytze/favicon.ico,no_website
科技/软件/云计算,IT/互联网/游戏,亚信科技（中国）有限公司,亚信科技,,北京市,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,15828,IT/互联网/游戏,10000人以上,北京市,,0,https://www.waiqi.com/company/detail?id=15828,added_from_waiqi,,,not_checked
物流/供应链/航运,交通/物流/仓储,亚洲航空(广州)商务服务有限公司,亚洲航空,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,18522,交通/物流/仓储,50-99人,,,0,https://www.waiqi.com/company/detail?id=18522,added_from_waiqi,,,not_checked
